"year","metric","Intervention","value"
2049,"Stroke averted","Scenario 2",21928104.027768
2050,"Cumulative cases averted","Scenario 2",65601436.0140262
2050,"Cumulative deaths averted","Scenario 2",27486997.2736628
2050,"Heart failure averted","Scenario 2",6620538.8003987
2050,"MI averted","Scenario 2",34655423.4465914
2050,"Stroke averted","Scenario 2",24325473.7670361
2017,"Cumulative cases averted","Scenario 3",0
2017,"Cumulative deaths averted","Scenario 3",0
2017,"Heart failure averted","Scenario 3",0
2017,"MI averted","Scenario 3",0
2017,"Stroke averted","Scenario 3",0
2018,"Cumulative cases averted","Scenario 3",0
2018,"Cumulative deaths averted","Scenario 3",0
2018,"Heart failure averted","Scenario 3",0
2018,"MI averted","Scenario 3",0
2018,"Stroke averted","Scenario 3",0
2019,"Cumulative cases averted","Scenario 3",0
2019,"Cumulative deaths averted","Scenario 3",0
2019,"Heart failure averted","Scenario 3",0
2019,"MI averted","Scenario 3",0
2019,"Stroke averted","Scenario 3",0
2020,"Cumulative cases averted","Scenario 3",0
2020,"Cumulative deaths averted","Scenario 3",0
2020,"Heart failure averted","Scenario 3",0
2020,"MI averted","Scenario 3",0
2020,"Stroke averted","Scenario 3",0
2021,"Cumulative cases averted","Scenario 3",0
2021,"Cumulative deaths averted","Scenario 3",0
2021,"Heart failure averted","Scenario 3",0
2021,"MI averted","Scenario 3",0
2021,"Stroke averted","Scenario 3",0
2022,"Cumulative cases averted","Scenario 3",0
2022,"Cumulative deaths averted","Scenario 3",0
2022,"Heart failure averted","Scenario 3",0
2022,"MI averted","Scenario 3",0
2022,"Stroke averted","Scenario 3",0
2023,"Cumulative cases averted","Scenario 3",34402.2610977367
2023,"Cumulative deaths averted","Scenario 3",11838.1881581694
2023,"Heart failure averted","Scenario 3",4840.843879872
2023,"MI averted","Scenario 3",16901.2437620722
2023,"Stroke averted","Scenario 3",12660.1734557971
2024,"Cumulative cases averted","Scenario 3",112068.585658155
2024,"Cumulative deaths averted","Scenario 3",39153.5161202364
2024,"Heart failure averted","Scenario 3",15492.5312773446
2024,"MI averted","Scenario 3",55292.2310752608
2024,"Stroke averted","Scenario 3",41283.8233055566
2025,"Cumulative cases averted","Scenario 3",240848.842172258
2025,"Cumulative deaths averted","Scenario 3",85067.5278694034
2025,"Heart failure averted","Scenario 3",32819.2096301503
2025,"MI averted","Scenario 3",119263.622827016
2025,"Stroke averted","Scenario 3",88766.0097151008
2026,"Cumulative cases averted","Scenario 3",428890.109725609
2026,"Cumulative deaths averted","Scenario 3",152800.091848873
2026,"Heart failure averted","Scenario 3",57723.9845000319
2026,"MI averted","Scenario 3",213057.849810343
2026,"Stroke averted","Scenario 3",158108.275415247
2027,"Cumulative cases averted","Scenario 3",685006.815872625
2027,"Cumulative deaths averted","Scenario 3",245830.578951214
2027,"Heart failure averted","Scenario 3",91188.2210862897
2027,"MI averted","Scenario 3",341259.604535874
2027,"Stroke averted","Scenario 3",252558.990250481
2028,"Cumulative cases averted","Scenario 3",1018707.62861744
2028,"Cumulative deaths averted","Scenario 3",367933.145250533
2028,"Heart failure averted","Scenario 3",134265.423385143
2028,"MI averted","Scenario 3",508815.812151134
2028,"Stroke averted","Scenario 3",375626.393081179
2029,"Cumulative cases averted","Scenario 3",1440346.12776311
2029,"Cumulative deaths averted","Scenario 3",523247.930291168
2029,"Heart failure averted","Scenario 3",188098.239281905
2029,"MI averted","Scenario 3",721109.758622669
2029,"Stroke averted","Scenario 3",531138.129858566
2030,"Cumulative cases averted","Scenario 3",1960980.23791077
2030,"Cumulative deaths averted","Scenario 3",716216.679850411
2030,"Heart failure averted","Scenario 3",253894.465975011
2030,"MI averted","Scenario 3",983903.882495407
2030,"Stroke averted","Scenario 3",723181.889440374
2031,"Cumulative cases averted","Scenario 3",2591710.34298979
2031,"Cumulative deaths averted","Scenario 3",951373.884563036
2031,"Heart failure averted","Scenario 3",332873.603624435
2031,"MI averted","Scenario 3",1302946.69651974
2031,"Stroke averted","Scenario 3",955890.042845631
2032,"Cumulative cases averted","Scenario 3",3344581.1890919
2032,"Cumulative deaths averted","Scenario 3",1233624.78098521
2032,"Heart failure averted","Scenario 3",426346.684345762
2032,"MI averted","Scenario 3",1684499.71888222
2032,"Stroke averted","Scenario 3",1233734.78586394
2033,"Cumulative cases averted","Scenario 3",4230754.41713071
2033,"Cumulative deaths averted","Scenario 3",1567836.29881474
2033,"Heart failure averted","Scenario 3",535389.408749727
2033,"MI averted","Scenario 3",2134475.11990592
2033,"Stroke averted","Scenario 3",1560889.88847509
2034,"Cumulative cases averted","Scenario 3",5260327.55178966
2034,"Cumulative deaths averted","Scenario 3",1958048.40953052
2034,"Heart failure averted","Scenario 3",661024.244049828
2034,"MI averted","Scenario 3",2658265.0813513
2034,"Stroke averted","Scenario 3",1941038.22638855
2035,"Cumulative cases averted","Scenario 3",6442171.37883682
2035,"Cumulative deaths averted","Scenario 3",2407986.01883012
2035,"Heart failure averted","Scenario 3",804166.31472685
2035,"MI averted","Scenario 3",3260522.25277412
2035,"Stroke averted","Scenario 3",2377482.81133587
2036,"Cumulative cases averted","Scenario 3",7755272.45758425
2036,"Cumulative deaths averted","Scenario 3",2908664.49629569
2036,"Heart failure averted","Scenario 3",962975.610850648
2036,"MI averted","Scenario 3",3929769.52248641
2036,"Stroke averted","Scenario 3",2862527.32424721
2037,"Cumulative cases averted","Scenario 3",9171732.21275773
2037,"Cumulative deaths averted","Scenario 3",3445952.83168619
2037,"Heart failure averted","Scenario 3",1133173.7983236
2037,"MI averted","Scenario 3",4654349.70364948
2037,"Stroke averted","Scenario 3",3384208.71078468
2038,"Cumulative cases averted","Scenario 3",10677980.4564033
2038,"Cumulative deaths averted","Scenario 3",4016808.98598259
2038,"Heart failure averted","Scenario 3",1312222.61927664
2038,"MI averted","Scenario 3",5428033.25495068
2038,"Stroke averted","Scenario 3",3937724.58217602
2039,"Cumulative cases averted","Scenario 3",12264838.1104817
2039,"Cumulative deaths averted","Scenario 3",4617427.93329219
2039,"Heart failure averted","Scenario 3",1498599.17928895
2039,"MI averted","Scenario 3",6246884.03437991
2039,"Stroke averted","Scenario 3",4519354.89681286
2040,"Cumulative cases averted","Scenario 3",13931840.0798472
2040,"Cumulative deaths averted","Scenario 3",5247887.05214681
2040,"Heart failure averted","Scenario 3",1691874.13987605
2040,"MI averted","Scenario 3",7111160.05667314
2040,"Stroke averted","Scenario 3",5128805.88329799
2041,"Cumulative cases averted","Scenario 3",15684322.6084111
2041,"Cumulative deaths averted","Scenario 3",5911262.05535942
2041,"Heart failure averted","Scenario 3",1892281.86348764
2041,"MI averted","Scenario 3",8023874.4723663
2041,"Stroke averted","Scenario 3",5768166.27255712
2042,"Cumulative cases averted","Scenario 3",17521626.5685439
2042,"Cumulative deaths averted","Scenario 3",6608736.98187693
2042,"Heart failure averted","Scenario 3",2099252.90287642
2042,"MI averted","Scenario 3",8984976.37788149
2042,"Stroke averted","Scenario 3",6437397.28778596
2043,"Cumulative cases averted","Scenario 3",19428345.9636509
2043,"Cumulative deaths averted","Scenario 3",7333341.36610733
2043,"Heart failure averted","Scenario 3",2310418.06499514
2043,"MI averted","Scenario 3",9987762.84991114
2043,"Stroke averted","Scenario 3",7130165.04874459
2044,"Cumulative cases averted","Scenario 3",21392786.6379678
2044,"Cumulative deaths averted","Scenario 3",8078754.22538277
2044,"Heart failure averted","Scenario 3",2524209.96301329
2044,"MI averted","Scenario 3",11027128.4373485
2044,"Stroke averted","Scenario 3",7841448.237606
2045,"Cumulative cases averted","Scenario 3",23408968.766748
2045,"Cumulative deaths averted","Scenario 3",8841171.52429065
2045,"Heart failure averted","Scenario 3",2739760.06649951
2045,"MI averted","Scenario 3",12100756.0422167
2045,"Stroke averted","Scenario 3",8568452.65803178
2046,"Cumulative cases averted","Scenario 3",25471877.2931888
2046,"Cumulative deaths averted","Scenario 3",9616508.40175531
2046,"Heart failure averted","Scenario 3",2956077.09252896
2046,"MI averted","Scenario 3",13207407.0818559
2046,"Stroke averted","Scenario 3",9308393.1188039
2047,"Cumulative cases averted","Scenario 3",27590100.3209098
2047,"Cumulative deaths averted","Scenario 3",10406644.5069366
2047,"Heart failure averted","Scenario 3",3172564.79334712
2047,"MI averted","Scenario 3",14354460.0716736
2047,"Stroke averted","Scenario 3",10063075.4558891
2048,"Cumulative cases averted","Scenario 3",29739972.6739485
2048,"Cumulative deaths averted","Scenario 3",11202391.4467132
2048,"Heart failure averted","Scenario 3",3386266.05111175
2048,"MI averted","Scenario 3",15530055.8117721
2048,"Stroke averted","Scenario 3",10823650.8110646
2049,"Cumulative cases averted","Scenario 3",31907313.3809098
2049,"Cumulative deaths averted","Scenario 3",11999029.333732
2049,"Heart failure averted","Scenario 3",3595799.8761262
2049,"MI averted","Scenario 3",16726220.1092152
2049,"Stroke averted","Scenario 3",11585293.3955683
2050,"Cumulative cases averted","Scenario 3",34104925.7391857
2050,"Cumulative deaths averted","Scenario 3",12805814.7329937
2050,"Heart failure averted","Scenario 3",3803547.37461672
2050,"MI averted","Scenario 3",17946735.7074061
2050,"Stroke averted","Scenario 3",12354642.6571628
2017,"Cumulative cases averted","Scenario 4",0
2017,"Cumulative deaths averted","Scenario 4",0
2017,"Heart failure averted","Scenario 4",0
2017,"MI averted","Scenario 4",0
2017,"Stroke averted","Scenario 4",0
2018,"Cumulative cases averted","Scenario 4",0
2018,"Cumulative deaths averted","Scenario 4",0
2018,"Heart failure averted","Scenario 4",0
2018,"MI averted","Scenario 4",0
2018,"Stroke averted","Scenario 4",0
2019,"Cumulative cases averted","Scenario 4",0
2019,"Cumulative deaths averted","Scenario 4",0
2019,"Heart failure averted","Scenario 4",0
2019,"MI averted","Scenario 4",0
2019,"Stroke averted","Scenario 4",0
2020,"Cumulative cases averted","Scenario 4",0
2020,"Cumulative deaths averted","Scenario 4",0
2020,"Heart failure averted","Scenario 4",0
2020,"MI averted","Scenario 4",0
2020,"Stroke averted","Scenario 4",0
2021,"Cumulative cases averted","Scenario 4",0
2021,"Cumulative deaths averted","Scenario 4",0
2021,"Heart failure averted","Scenario 4",0
2021,"MI averted","Scenario 4",0
2021,"Stroke averted","Scenario 4",0
2022,"Cumulative cases averted","Scenario 4",0
2022,"Cumulative deaths averted","Scenario 4",0
2022,"Heart failure averted","Scenario 4",0
2022,"MI averted","Scenario 4",0
2022,"Stroke averted","Scenario 4",0
2023,"Cumulative cases averted","Scenario 4",81220.0738112479
2023,"Cumulative deaths averted","Scenario 4",31035.9452655725
2023,"Heart failure averted","Scenario 4",9838.56625061855
2023,"MI averted","Scenario 4",41348.8410362527
