"","wb2021","year","intervention","x50q30"
"102","HIC",2037,"Scenario 1",0.0578306332471799
"103","HIC",2037,"Scenario 2",0.0563965903748787
"104","HIC",2037,"Scenario 3",0.0530148432481222
"105","HIC",2037,"Scenario 4",0.0491290142096396
"106","HIC",2038,"Baseline",0.0584049817854596
"107","HIC",2038,"Scenario 1",0.0569341376322571
"108","HIC",2038,"Scenario 2",0.0553596207178361
"109","HIC",2038,"Scenario 3",0.0517518499062805
"110","HIC",2038,"Scenario 4",0.0480967563007978
"111","HIC",2039,"Baseline",0.0576630008130481
"112","HIC",2039,"Scenario 1",0.0560966654855661
"113","HIC",2039,"Scenario 2",0.0543815624722166
"114","HIC",2039,"Scenario 3",0.0505511372843964
"115","HIC",2039,"Scenario 4",0.0471631054865005
"116","HIC",2040,"Baseline",0.0568485598631278
"117","HIC",2040,"Scenario 1",0.055194531246362
"118","HIC",2040,"Scenario 2",0.0533415816075467
"119","HIC",2040,"Scenario 3",0.0493667130839628
"120","HIC",2040,"Scenario 4",0.0462162915750421
"121","HIC",2041,"Baseline",0.0561421941387429
"122","HIC",2041,"Scenario 1",0.054403278827853
"123","HIC",2041,"Scenario 2",0.0524076979642413
"124","HIC",2041,"Scenario 3",0.0483438850486754
"125","HIC",2041,"Scenario 4",0.045398924394252
"126","HIC",2042,"Baseline",0.0554604961308397
"127","HIC",2042,"Scenario 1",0.0536423638921102
"128","HIC",2042,"Scenario 2",0.0515007470862338
"129","HIC",2042,"Scenario 3",0.0473687402092716
"130","HIC",2042,"Scenario 4",0.0446376479899467
"131","HIC",2043,"Baseline",0.0548269070235499
"132","HIC",2043,"Scenario 1",0.0529322108494278
"133","HIC",2043,"Scenario 2",0.0506411430393086
"134","HIC",2043,"Scenario 3",0.0464551198598483
"135","HIC",2043,"Scenario 4",0.0439463526398217
"136","HIC",2044,"Baseline",0.0541986592349564
"137","HIC",2044,"Scenario 1",0.0522300366792849
"138","HIC",2044,"Scenario 2",0.0497884876207103
"139","HIC",2044,"Scenario 3",0.0456101479540016
"140","HIC",2044,"Scenario 4",0.0432865534192857
"141","HIC",2045,"Baseline",0.0535408491921805
"142","HIC",2045,"Scenario 1",0.0515064299645074
"143","HIC",2045,"Scenario 2",0.0489552543421941
"144","HIC",2045,"Scenario 3",0.0447775032286561
"145","HIC",2045,"Scenario 4",0.0426293614153773
"146","HIC",2046,"Baseline",0.0528935784805694
"147","HIC",2046,"Scenario 1",0.0507944175095799
"148","HIC",2046,"Scenario 2",0.0481529592122656
"149","HIC",2046,"Scenario 3",0.044002062045463
"150","HIC",2046,"Scenario 4",0.0420013682968419
"151","HIC",2047,"Baseline",0.0523868004950945
"152","HIC",2047,"Scenario 1",0.0502244768838782
"153","HIC",2047,"Scenario 2",0.0474984992615528
"154","HIC",2047,"Scenario 3",0.0433665079587795
"155","HIC",2047,"Scenario 4",0.0415116815438207
"156","HIC",2048,"Baseline",0.0519640154091195
"157","HIC",2048,"Scenario 1",0.0497408529340032
"158","HIC",2048,"Scenario 2",0.0469302665789959
"159","HIC",2048,"Scenario 3",0.0428237834566412
"160","HIC",2048,"Scenario 4",0.0411111331445307
"161","HIC",2049,"Baseline",0.0515410398991032
"162","HIC",2049,"Scenario 1",0.0492632793339836
"163","HIC",2049,"Scenario 2",0.0463704900298082
"164","HIC",2049,"Scenario 3",0.042294978560506
"165","HIC",2049,"Scenario 4",0.0407286538460618
"166","HIC",2050,"Baseline",0.0510244647887623
"167","HIC",2050,"Scenario 1",0.0487044634609194
"168","HIC",2050,"Scenario 2",0.0457385150771374
"169","HIC",2050,"Scenario 3",0.0417054744549467
"170","HIC",2050,"Scenario 4",0.0402851535816885
"171","LIC",2017,"Baseline",0.278947149250362
"172","LIC",2017,"Scenario 1",0.278947149250362
"173","LIC",2017,"Scenario 2",0.278947149250362
"174","LIC",2017,"Scenario 3",0.278947149250362
"175","LIC",2017,"Scenario 4",0.278947149250362
"176","LIC",2018,"Baseline",0.275844843446013
"177","LIC",2018,"Scenario 1",0.275844843446013
"178","LIC",2018,"Scenario 2",0.275844843446013
"179","LIC",2018,"Scenario 3",0.275844843446013
"180","LIC",2018,"Scenario 4",0.275844843446013
"181","LIC",2019,"Baseline",0.276736861298328
"182","LIC",2019,"Scenario 1",0.276736861298328
"183","LIC",2019,"Scenario 2",0.276736861298328
"184","LIC",2019,"Scenario 3",0.276736861298328
"185","LIC",2019,"Scenario 4",0.276736861298328
"186","LIC",2020,"Baseline",0.275451110945114
"187","LIC",2020,"Scenario 1",0.275451110945114
"188","LIC",2020,"Scenario 2",0.275451110945114
"189","LIC",2020,"Scenario 3",0.275451110945114
"190","LIC",2020,"Scenario 4",0.275451110945114
"191","LIC",2021,"Baseline",0.273743377138785
"192","LIC",2021,"Scenario 1",0.273743377138785
"193","LIC",2021,"Scenario 2",0.273743377138785
"194","LIC",2021,"Scenario 3",0.273743377138785
"195","LIC",2021,"Scenario 4",0.273743377138785
"196","LIC",2022,"Baseline",0.272321518475741
"197","LIC",2022,"Scenario 1",0.272321518475741
"198","LIC",2022,"Scenario 2",0.272321518475741
"199","LIC",2022,"Scenario 3",0.272321518475741
"200","LIC",2022,"Scenario 4",0.272321518475741
"201","LIC",2023,"Baseline",0.270891358091048
"202","LIC",2023,"Scenario 1",0.270426905212418
"203","LIC",2023,"Scenario 2",0.270426905212418
"204","LIC",2023,"Scenario 3",0.26998121172254
"205","LIC",2023,"Scenario 4",0.269089019647302
"206","LIC",2024,"Baseline",0.269441600488899
"207","LIC",2024,"Scenario 1",0.26831871953629
"208","LIC",2024,"Scenario 2",0.26831871953629
"209","LIC",2024,"Scenario 3",0.26724349896778
"210","LIC",2024,"Scenario 4",0.265090133837839
"211","LIC",2025,"Baseline",0.268679357614321
"212","LIC",2025,"Scenario 1",0.266783252890062
"213","LIC",2025,"Scenario 2",0.266783252890062
"214","LIC",2025,"Scenario 3",0.264971672234611
"215","LIC",2025,"Scenario 4",0.261342895482246
"216","LIC",2026,"Baseline",0.266546909548116
"217","LIC",2026,"Scenario 1",0.263810557027888
"218","LIC",2026,"Scenario 2",0.263808235062599
"219","LIC",2026,"Scenario 3",0.261197456415779
"220","LIC",2026,"Scenario 4",0.255968045186123
"221","LIC",2027,"Baseline",0.264623888033113
"222","LIC",2027,"Scenario 1",0.260990562882661
"223","LIC",2027,"Scenario 2",0.260981351433241
"224","LIC",2027,"Scenario 3",0.257515035838392
"225","LIC",2027,"Scenario 4",0.250573424397155
"226","LIC",2028,"Baseline",0.262959067168519
"227","LIC",2028,"Scenario 1",0.258391648590337
"228","LIC",2028,"Scenario 2",0.258362277446767
"229","LIC",2028,"Scenario 3",0.253991968107597
"230","LIC",2028,"Scenario 4",0.245242942770081
"231","LIC",2029,"Baseline",0.261438140632001
"232","LIC",2029,"Scenario 1",0.255923541085082
"233","LIC",2029,"Scenario 2",0.255843807143849
"234","LIC",2029,"Scenario 3",0.25052925271417
"235","LIC",2029,"Scenario 4",0.239894558152824
"236","LIC",2030,"Baseline",0.26030157637173
"237","LIC",2030,"Scenario 1",0.253844317123532
"238","LIC",2030,"Scenario 2",0.25366512459791
"239","LIC",2030,"Scenario 3",0.247366258819808
"240","LIC",2030,"Scenario 4",0.234768295262909
"241","LIC",2031,"Baseline",0.258881433906825
"242","LIC",2031,"Scenario 1",0.251552471555515
"243","LIC",2031,"Scenario 2",0.251181612565701
"244","LIC",2031,"Scenario 3",0.243878777230577
"245","LIC",2031,"Scenario 4",0.229281838498421
"246","LIC",2032,"Baseline",0.257519477117408
"247","LIC",2032,"Scenario 1",0.249629573352422
"248","LIC",2032,"Scenario 2",0.248729316585917
"249","LIC",2032,"Scenario 3",0.240400003016494
"250","LIC",2032,"Scenario 4",0.223762937934003
"251","LIC",2033,"Baseline",0.256229992341496
"252","LIC",2033,"Scenario 1",0.247957176446363
"253","LIC",2033,"Scenario 2",0.246325335674246
"254","LIC",2033,"Scenario 3",0.236950228883847
"255","LIC",2033,"Scenario 4",0.218238752878016
"256","LIC",2034,"Baseline",0.255009626681839
"257","LIC",2034,"Scenario 1",0.246369901067189
"258","LIC",2034,"Scenario 2",0.24397097999023
"259","LIC",2034,"Scenario 3",0.233532047817041
"260","LIC",2034,"Scenario 4",0.212718452627447
"261","LIC",2035,"Baseline",0.253839054029505
"262","LIC",2035,"Scenario 1",0.244850076185608
"263","LIC",2035,"Scenario 2",0.241653413277099
"264","LIC",2035,"Scenario 3",0.230132838521858
"265","LIC",2035,"Scenario 4",0.207196190368272
"266","LIC",2036,"Baseline",0.252710210967445
"267","LIC",2036,"Scenario 1",0.243503089841564
"268","LIC",2036,"Scenario 2",0.239365475477397
"269","LIC",2036,"Scenario 3",0.226747877645614
"270","LIC",2036,"Scenario 4",0.201703951719554
"271","LIC",2037,"Baseline",0.251604670533579
"272","LIC",2037,"Scenario 1",0.24225270356083
"273","LIC",2037,"Scenario 2",0.237100660389152
"274","LIC",2037,"Scenario 3",0.223364630687189
"275","LIC",2037,"Scenario 4",0.19629739075123
"276","LIC",2038,"Baseline",0.250521899581114
"277","LIC",2038,"Scenario 1",0.241075371019709
"278","LIC",2038,"Scenario 2",0.234859430824597
"279","LIC",2038,"Scenario 3",0.21998648141666
"280","LIC",2038,"Scenario 4",0.190946187300144
"281","LIC",2039,"Baseline",0.24948440050447
"282","LIC",2039,"Scenario 1",0.239974288318138
"283","LIC",2039,"Scenario 2",0.232657599843664
"284","LIC",2039,"Scenario 3",0.216628474561248
"285","LIC",2039,"Scenario 4",0.185746368192897
"286","LIC",2040,"Baseline",0.24845701863174
"287","LIC",2040,"Scenario 1",0.238903324836229
"288","LIC",2040,"Scenario 2",0.230468484075246
"289","LIC",2040,"Scenario 3",0.21325840631236
"290","LIC",2040,"Scenario 4",0.181605399818387
"291","LIC",2041,"Baseline",0.247408702686556
"292","LIC",2041,"Scenario 1",0.23783702457146
"293","LIC",2041,"Scenario 2",0.228314024891624
"294","LIC",2041,"Scenario 3",0.209857631050763
"295","LIC",2041,"Scenario 4",0.178886831740758
"296","LIC",2042,"Baseline",0.246348953464011
"297","LIC",2042,"Scenario 1",0.236776173000656
"298","LIC",2042,"Scenario 2",0.226199545059645
"299","LIC",2042,"Scenario 3",0.206432347322969
"300","LIC",2042,"Scenario 4",0.176458786834161
"301","LIC",2043,"Baseline",0.245295412829981
"302","LIC",2043,"Scenario 1",0.235749719376702
"303","LIC",2043,"Scenario 2",0.224147339830976
"304","LIC",2043,"Scenario 3",0.203010638936513
"305","LIC",2043,"Scenario 4",0.174280766537609
"306","LIC",2044,"Baseline",0.244238241135079
"307","LIC",2044,"Scenario 1",0.234750225409508
"308","LIC",2044,"Scenario 2",0.222148219067383
"309","LIC",2044,"Scenario 3",0.199581971716098
"310","LIC",2044,"Scenario 4",0.172301277777663
"311","LIC",2045,"Baseline",0.243143984285474
"312","LIC",2045,"Scenario 1",0.233735188325691
"313","LIC",2045,"Scenario 2",0.220185560806847
"314","LIC",2045,"Scenario 3",0.196111185839653
"315","LIC",2045,"Scenario 4",0.170457138151821
"316","LIC",2046,"Baseline",0.241984181179981
"317","LIC",2046,"Scenario 1",0.232689277425182
"318","LIC",2046,"Scenario 2",0.218229381290136
"319","LIC",2046,"Scenario 3",0.192592120066918
"320","LIC",2046,"Scenario 4",0.168709387810415
"321","LIC",2047,"Baseline",0.24077823455142
"322","LIC",2047,"Scenario 1",0.231630386678861
"323","LIC",2047,"Scenario 2",0.216295214614142
"324","LIC",2047,"Scenario 3",0.189074766227714
"325","LIC",2047,"Scenario 4",0.167052386003675
"326","LIC",2048,"Baseline",0.239579113465638
"327","LIC",2048,"Scenario 1",0.230608657176182
"328","LIC",2048,"Scenario 2",0.214427741053448
"329","LIC",2048,"Scenario 3",0.185581781801846
"330","LIC",2048,"Scenario 4",0.165510358063918
"331","LIC",2049,"Baseline",0.238403273977908
"332","LIC",2049,"Scenario 1",0.229643068302496
"333","LIC",2049,"Scenario 2",0.212640265659406
"334","LIC",2049,"Scenario 3",0.182120706927817
"335","LIC",2049,"Scenario 4",0.164085332515356
"336","LIC",2050,"Baseline",0.237176366679607
"337","LIC",2050,"Scenario 1",0.228658857636606
"338","LIC",2050,"Scenario 2",0.210866372724614
"339","LIC",2050,"Scenario 3",0.178632172504832
"340","LIC",2050,"Scenario 4",0.162709600352171
"341","LMIC",2017,"Baseline",0.265604735972654
"342","LMIC",2017,"Scenario 1",0.265604735972654
"343","LMIC",2017,"Scenario 2",0.265604735972654
"344","LMIC",2017,"Scenario 3",0.265604735972654
"345","LMIC",2017,"Scenario 4",0.265604735972654
"346","LMIC",2018,"Baseline",0.261829263990367
"347","LMIC",2018,"Scenario 1",0.261829263990367
"348","LMIC",2018,"Scenario 2",0.261829263990367
"349","LMIC",2018,"Scenario 3",0.261829263990367
"350","LMIC",2018,"Scenario 4",0.261829263990367
"351","LMIC",2019,"Baseline",0.262440009759266
"352","LMIC",2019,"Scenario 1",0.262440009759266
"353","LMIC",2019,"Scenario 2",0.262440009759266
"354","LMIC",2019,"Scenario 3",0.262440009759266
"355","LMIC",2019,"Scenario 4",0.262440009759266
"356","LMIC",2020,"Baseline",0.260728754097557
"357","LMIC",2020,"Scenario 1",0.260728754097557
"358","LMIC",2020,"Scenario 2",0.260728754097557
"359","LMIC",2020,"Scenario 3",0.260728754097557
"360","LMIC",2020,"Scenario 4",0.260728754097557
"361","LMIC",2021,"Baseline",0.25863658269561
"362","LMIC",2021,"Scenario 1",0.25863658269561
"363","LMIC",2021,"Scenario 2",0.25863658269561
"364","LMIC",2021,"Scenario 3",0.25863658269561
"365","LMIC",2021,"Scenario 4",0.25863658269561
"366","LMIC",2022,"Baseline",0.256828259945481
"367","LMIC",2022,"Scenario 1",0.256828259945481
"368","LMIC",2022,"Scenario 2",0.256828259945481
"369","LMIC",2022,"Scenario 3",0.256828259945481
"370","LMIC",2022,"Scenario 4",0.256828259945481
"371","LMIC",2023,"Baseline",0.255238433046187
"372","LMIC",2023,"Scenario 1",0.254772116498175
"373","LMIC",2023,"Scenario 2",0.254772116498175
"374","LMIC",2023,"Scenario 3",0.254305267557517
"375","LMIC",2023,"Scenario 4",0.25337070274477
"376","LMIC",2024,"Baseline",0.253811257394454
"377","LMIC",2024,"Scenario 1",0.252749819204341
"378","LMIC",2024,"Scenario 2",0.252749819204341
"379","LMIC",2024,"Scenario 3",0.251689377099665
"380","LMIC",2024,"Scenario 4",0.249565928449353
"381","LMIC",2025,"Baseline",0.252843777972552
"382","LMIC",2025,"Scenario 1",0.25109605554635
"383","LMIC",2025,"Scenario 2",0.25109605554635
"384","LMIC",2025,"Scenario 3",0.249353154044783
"385","LMIC",2025,"Scenario 4",0.24586347161234
"386","LMIC",2026,"Baseline",0.251209894488774
"387","LMIC",2026,"Scenario 1",0.248711997629762
"388","LMIC",2026,"Scenario 2",0.248711997629762
"389","LMIC",2026,"Scenario 3",0.246224471758815
"390","LMIC",2026,"Scenario 4",0.241245706492978
"391","LMIC",2027,"Baseline",0.249932217243241
"392","LMIC",2027,"Scenario 1",0.246624467518874
"393","LMIC",2027,"Scenario 2",0.246624467518874
"394","LMIC",2027,"Scenario 3",0.243335798967229
"395","LMIC",2027,"Scenario 4",0.236757109964303
"396","LMIC",2028,"Baseline",0.24883914397191
"397","LMIC",2028,"Scenario 1",0.244671203265507
"398","LMIC",2028,"Scenario 2",0.244670542731093
"399","LMIC",2028,"Scenario 3",0.240533097635266
"400","LMIC",2028,"Scenario 4",0.232261988686064
"401","LMIC",2029,"Baseline",0.247761623746486
"402","LMIC",2029,"Scenario 1",0.242695128313278
"403","LMIC",2029,"Scenario 2",0.242691176925843
"404","LMIC",2029,"Scenario 3",0.237666496322117
"405","LMIC",2029,"Scenario 4",0.227629303476921
"406","LMIC",2030,"Baseline",0.246822436529652
"407","LMIC",2030,"Scenario 1",0.240823474096912
"408","LMIC",2030,"Scenario 2",0.240814159294722
"409","LMIC",2030,"Scenario 3",0.234867615296121
"410","LMIC",2030,"Scenario 4",0.222998617952454
"411","LMIC",2031,"Baseline",0.245583417372668
"412","LMIC",2031,"Scenario 1",0.238630780744695
"413","LMIC",2031,"Scenario 2",0.23861286607379
"414","LMIC",2031,"Scenario 3",0.231724525554174
"415","LMIC",2031,"Scenario 4",0.217988578748505
"416","LMIC",2032,"Baseline",0.244354624570564
"417","LMIC",2032,"Scenario 1",0.236429674288957
"418","LMIC",2032,"Scenario 2",0.236397927029682
"419","LMIC",2032,"Scenario 3",0.228546125596178
"420","LMIC",2032,"Scenario 4",0.212904716012383
"421","LMIC",2033,"Baseline",0.243153533717922
"422","LMIC",2033,"Scenario 1",0.234263857510454
"423","LMIC",2033,"Scenario 2",0.234190121859248
"424","LMIC",2033,"Scenario 3",0.225356413176048
"425","LMIC",2033,"Scenario 4",0.207777956317732
"426","LMIC",2034,"Baseline",0.241931717049351
"427","LMIC",2034,"Scenario 1",0.232110788197451
"428","LMIC",2034,"Scenario 2",0.231946211788023
"429","LMIC",2034,"Scenario 3",0.222116930778831
"430","LMIC",2034,"Scenario 4",0.202580277854203
"431","LMIC",2035,"Baseline",0.240723967850454
"432","LMIC",2035,"Scenario 1",0.230011664705576
"433","LMIC",2035,"Scenario 2",0.229702930177411
"434","LMIC",2035,"Scenario 3",0.21886653807095
"435","LMIC",2035,"Scenario 4",0.197355967291717
"436","LMIC",2036,"Baseline",0.239497088393955
"437","LMIC",2036,"Scenario 1",0.227936720603357
"438","LMIC",2036,"Scenario 2",0.227430404689068
"439","LMIC",2036,"Scenario 3",0.21557827926215
"440","LMIC",2036,"Scenario 4",0.192085168754459
"441","LMIC",2037,"Baseline",0.238220994454753
"442","LMIC",2037,"Scenario 1",0.225894786184926
"443","LMIC",2037,"Scenario 2",0.225102825862075
"444","LMIC",2037,"Scenario 3",0.212230229222824
"445","LMIC",2037,"Scenario 4",0.186757602689639
"446","LMIC",2038,"Baseline",0.236862512923309
"447","LMIC",2038,"Scenario 1",0.224061572553531
"448","LMIC",2038,"Scenario 2",0.22272006059475
"449","LMIC",2038,"Scenario 3",0.208798474539475
"450","LMIC",2038,"Scenario 4",0.181433716484789
"451","LMIC",2039,"Baseline",0.235440747387544
"452","LMIC",2039,"Scenario 1",0.222398188668123
"453","LMIC",2039,"Scenario 2",0.220296523079209
"454","LMIC",2039,"Scenario 3",0.205305513147572
"455","LMIC",2039,"Scenario 4",0.176232566599184
"456","LMIC",2040,"Baseline",0.23396223602551
"457","LMIC",2040,"Scenario 1",0.220699921044811
"458","LMIC",2040,"Scenario 2",0.217835508113646
"459","LMIC",2040,"Scenario 3",0.201761666738164
"460","LMIC",2040,"Scenario 4",0.172302730444003
"461","LMIC",2041,"Baseline",0.232470712596418
"462","LMIC",2041,"Scenario 1",0.219026694258939
"463","LMIC",2041,"Scenario 2",0.215375882176867
"464","LMIC",2041,"Scenario 3",0.198207613793813
"465","LMIC",2041,"Scenario 4",0.169438812928475
"466","LMIC",2042,"Baseline",0.23095352857605
"467","LMIC",2042,"Scenario 1",0.217379493149522
"468","LMIC",2042,"Scenario 2",0.2129078914557
"469","LMIC",2042,"Scenario 3",0.19463540720455
"470","LMIC",2042,"Scenario 4",0.166827696693847
"471","LMIC",2043,"Baseline",0.229410313933591
"472","LMIC",2043,"Scenario 1",0.215752487150582
"473","LMIC",2043,"Scenario 2",0.21043473710546
"474","LMIC",2043,"Scenario 3",0.19104694897525
"475","LMIC",2043,"Scenario 4",0.164425238486397
"476","LMIC",2044,"Baseline",0.227893040789518
"477","LMIC",2044,"Scenario 1",0.214195827008433
"478","LMIC",2044,"Scenario 2",0.208018612427679
"479","LMIC",2044,"Scenario 3",0.187489688391115
"480","LMIC",2044,"Scenario 4",0.162239581287509
"481","LMIC",2045,"Baseline",0.226445756818134
"482","LMIC",2045,"Scenario 1",0.212747598334203
"483","LMIC",2045,"Scenario 2",0.205707834940166
"484","LMIC",2045,"Scenario 3",0.184000450125438
"485","LMIC",2045,"Scenario 4",0.160277992346408
"486","LMIC",2046,"Baseline",0.225075125346654
"487","LMIC",2046,"Scenario 1",0.211410996022868
"488","LMIC",2046,"Scenario 2",0.203540661425817
"489","LMIC",2046,"Scenario 3",0.180583192822433
"490","LMIC",2046,"Scenario 4",0.158520607279563
"491","LMIC",2047,"Baseline",0.223776926359537
"492","LMIC",2047,"Scenario 1",0.210180770727143
"493","LMIC",2047,"Scenario 2",0.201514710711529
"494","LMIC",2047,"Scenario 3",0.177237276569829
"495","LMIC",2047,"Scenario 4",0.156948939080442
"496","LMIC",2048,"Baseline",0.222521876025527
"497","LMIC",2048,"Scenario 1",0.20901992381939
"498","LMIC",2048,"Scenario 2",0.199586149505689
"499","LMIC",2048,"Scenario 3",0.173934828145518
"500","LMIC",2048,"Scenario 4",0.155522358540688
"501","LMIC",2049,"Baseline",0.221293388430404
"502","LMIC",2049,"Scenario 1",0.207915730029656
"503","LMIC",2049,"Scenario 2",0.197733040446597
"504","LMIC",2049,"Scenario 3",0.170667123863252
"505","LMIC",2049,"Scenario 4",0.154215592324333
"506","LMIC",2050,"Baseline",0.220040716975931
"507","LMIC",2050,"Scenario 1",0.206821474232859
"508","LMIC",2050,"Scenario 2",0.195906172519327
"509","LMIC",2050,"Scenario 3",0.167446313730614
"510","LMIC",2050,"Scenario 4",0.152980881280167
"511","UMIC",2017,"Baseline",0.21276232716663
"512","UMIC",2017,"Scenario 1",0.21276232716663
"513","UMIC",2017,"Scenario 2",0.21276232716663
"514","UMIC",2017,"Scenario 3",0.21276232716663
"515","UMIC",2017,"Scenario 4",0.21276232716663
"516","UMIC",2018,"Baseline",0.200167042757418
"517","UMIC",2018,"Scenario 1",0.200167042757418
"518","UMIC",2018,"Scenario 2",0.200167042757418
"519","UMIC",2018,"Scenario 3",0.200167042757418
"520","UMIC",2018,"Scenario 4",0.200167042757418
"521","UMIC",2019,"Baseline",0.198806354936322
"522","UMIC",2019,"Scenario 1",0.198806354936322
"523","UMIC",2019,"Scenario 2",0.198806354936322
"524","UMIC",2019,"Scenario 3",0.198806354936322
"525","UMIC",2019,"Scenario 4",0.198806354936322
"526","UMIC",2020,"Baseline",0.194125696868971
"527","UMIC",2020,"Scenario 1",0.194125696868971
"528","UMIC",2020,"Scenario 2",0.194125696868971
"529","UMIC",2020,"Scenario 3",0.194125696868971
"530","UMIC",2020,"Scenario 4",0.194125696868971
"531","UMIC",2021,"Baseline",0.190147328105378
"532","UMIC",2021,"Scenario 1",0.190147328105378
