"wbregion","year","intervention","regimen","x50q30"
"East Asia and Pacific",2023,"Scenario 3","No aspirin",0.232660236340973
"East Asia and Pacific",2023,"Scenario 4","Aspirin",0.232565623841911
"East Asia and Pacific",2023,"Scenario 4","No aspirin",0.232607034674984
"East Asia and Pacific",2024,"Current care","Aspirin",0.198956001577411
"East Asia and Pacific",2024,"Scenario 1","Aspirin",0.198679400596466
"East Asia and Pacific",2024,"Scenario 1","No aspirin",0.198736272717081
"East Asia and Pacific",2024,"Scenario 2","Aspirin",0.198679400596466
"East Asia and Pacific",2024,"Scenario 2","No aspirin",0.198736272717081
"East Asia and Pacific",2024,"Scenario 3","Aspirin",0.198541727996347
"East Asia and Pacific",2024,"Scenario 3","No aspirin",0.198617359678813
"East Asia and Pacific",2024,"Scenario 4","Aspirin",0.198403132861004
"East Asia and Pacific",2024,"Scenario 4","No aspirin",0.198497643354673
"East Asia and Pacific",2025,"Current care","Aspirin",0.196999822760488
"East Asia and Pacific",2025,"Scenario 1","Aspirin",0.196557849402838
"East Asia and Pacific",2025,"Scenario 1","No aspirin",0.196649649921991
"East Asia and Pacific",2025,"Scenario 2","Aspirin",0.196557761554224
"East Asia and Pacific",2025,"Scenario 2","No aspirin",0.196649573881327
"East Asia and Pacific",2025,"Scenario 3","Aspirin",0.196338072235167
"East Asia and Pacific",2025,"Scenario 3","No aspirin",0.196460090350771
"East Asia and Pacific",2025,"Scenario 4","Aspirin",0.196117047403498
"East Asia and Pacific",2025,"Scenario 4","No aspirin",0.196269420934651
"East Asia and Pacific",2026,"Current care","Aspirin",0.19488273034406
"East Asia and Pacific",2026,"Scenario 1","Aspirin",0.194263696661917
"East Asia and Pacific",2026,"Scenario 1","No aspirin",0.194393294204568
"East Asia and Pacific",2026,"Scenario 2","Aspirin",0.194262577772594
"East Asia and Pacific",2026,"Scenario 2","No aspirin",0.194392325180427
"East Asia and Pacific",2026,"Scenario 3","Aspirin",0.19395539752954
"East Asia and Pacific",2026,"Scenario 3","No aspirin",0.194127679854588
"East Asia and Pacific",2026,"Scenario 4","Aspirin",0.193646574816743
"East Asia and Pacific",2026,"Scenario 4","No aspirin",0.193861527242015
"East Asia and Pacific",2027,"Current care","Aspirin",0.192605304732252
"East Asia and Pacific",2027,"Scenario 1","Aspirin",0.19180045131313
"East Asia and Pacific",2027,"Scenario 1","No aspirin",0.191970075964
"East Asia and Pacific",2027,"Scenario 2","Aspirin",0.191797653394524
"East Asia and Pacific",2027,"Scenario 2","No aspirin",0.191967651338894
"East Asia and Pacific",2027,"Scenario 3","Aspirin",0.19139890537068
"East Asia and Pacific",2027,"Scenario 3","No aspirin",0.191624409505911
"East Asia and Pacific",2027,"Scenario 4","Aspirin",0.190998418244728
"East Asia and Pacific",2027,"Scenario 4","No aspirin",0.191279481366914
"East Asia and Pacific",2028,"Current care","Aspirin",0.190350923753475
"East Asia and Pacific",2028,"Scenario 1","Aspirin",0.189351828399901
"East Asia and Pacific",2028,"Scenario 1","No aspirin",0.18956364342275
"East Asia and Pacific",2028,"Scenario 2","Aspirin",0.189347467855542
"East Asia and Pacific",2028,"Scenario 2","No aspirin",0.189559861973902
"East Asia and Pacific",2028,"Scenario 3","Aspirin",0.188853160411677
"East Asia and Pacific",2028,"Scenario 3","No aspirin",0.18913460495601
"East Asia and Pacific",2028,"Scenario 4","Aspirin",0.188357305421762
"East Asia and Pacific",2028,"Scenario 4","No aspirin",0.188707684724518
"East Asia and Pacific",2029,"Current care","Aspirin",0.188321162792628
"East Asia and Pacific",2029,"Scenario 1","Aspirin",0.187118414385077
"East Asia and Pacific",2029,"Scenario 1","No aspirin",0.187374685619429
"East Asia and Pacific",2029,"Scenario 2","Aspirin",0.187112630684493
"East Asia and Pacific",2029,"Scenario 2","No aspirin",0.187369665955949
"East Asia and Pacific",2029,"Scenario 3","Aspirin",0.186518335950414
"East Asia and Pacific",2029,"Scenario 3","No aspirin",0.186858553525471
"East Asia and Pacific",2029,"Scenario 4","Aspirin",0.185923003704667
"East Asia and Pacific",2029,"Scenario 4","No aspirin",0.18634602255779
"East Asia and Pacific",2030,"Current care","Aspirin",0.186549040560679
"East Asia and Pacific",2030,"Scenario 1","Aspirin",0.18513305508381
"East Asia and Pacific",2030,"Scenario 1","No aspirin",0.18543598961025
"East Asia and Pacific",2030,"Scenario 2","Aspirin",0.185125994182286
"East Asia and Pacific",2030,"Scenario 2","No aspirin",0.18542985089522
"East Asia and Pacific",2030,"Scenario 3","Aspirin",0.184427327821587
"East Asia and Pacific",2030,"Scenario 3","No aspirin",0.184829047301384
"East Asia and Pacific",2030,"Scenario 4","Aspirin",0.183728463273222
"East Asia and Pacific",2030,"Scenario 4","No aspirin",0.184227295281888
"East Asia and Pacific",2031,"Current care","Aspirin",0.185048568233324
"East Asia and Pacific",2031,"Scenario 1","Aspirin",0.18341163922288
"East Asia and Pacific",2031,"Scenario 1","No aspirin",0.183763078851311
"East Asia and Pacific",2031,"Scenario 2","Aspirin",0.18340176695529
"East Asia and Pacific",2031,"Scenario 2","No aspirin",0.183754481836846
"East Asia and Pacific",2031,"Scenario 3","Aspirin",0.182594698644146
"East Asia and Pacific",2031,"Scenario 3","No aspirin",0.183060434089475
"East Asia and Pacific",2031,"Scenario 4","Aspirin",0.18178858527032
"East Asia and Pacific",2031,"Scenario 4","No aspirin",0.182366114830726
"East Asia and Pacific",2032,"Current care","Aspirin",0.183644219581946
"East Asia and Pacific",2032,"Scenario 1","Aspirin",0.181784162561166
"East Asia and Pacific",2032,"Scenario 1","No aspirin",0.182184869078089
"East Asia and Pacific",2032,"Scenario 2","Aspirin",0.181768218469207
"East Asia and Pacific",2032,"Scenario 2","No aspirin",0.18217095626987
"East Asia and Pacific",2032,"Scenario 3","Aspirin",0.180850764251556
"East Asia and Pacific",2032,"Scenario 3","No aspirin",0.181381857220882
"East Asia and Pacific",2032,"Scenario 4","Aspirin",0.179935711308761
"East Asia and Pacific",2032,"Scenario 4","No aspirin",0.180593350527669
"East Asia and Pacific",2033,"Current care","Aspirin",0.182293145533116
"East Asia and Pacific",2033,"Scenario 1","Aspirin",0.180206939308928
"East Asia and Pacific",2033,"Scenario 1","No aspirin",0.180657525234449
"East Asia and Pacific",2033,"Scenario 2","Aspirin",0.180184707106495
"East Asia and Pacific",2033,"Scenario 2","No aspirin",0.180638065755863
"East Asia and Pacific",2033,"Scenario 3","Aspirin",0.179156201631561
"East Asia and Pacific",2033,"Scenario 3","No aspirin",0.179753233196399
"East Asia and Pacific",2033,"Scenario 4","Aspirin",0.178131815102618
"East Asia and Pacific",2033,"Scenario 4","No aspirin",0.178870023896879
"East Asia and Pacific",2034,"Current care","Aspirin",0.180977414029626
"East Asia and Pacific",2034,"Scenario 1","Aspirin",0.178665509346524
"East Asia and Pacific",2034,"Scenario 1","No aspirin",0.179167026136503
"East Asia and Pacific",2034,"Scenario 2","Aspirin",0.17863438073093
"East Asia and Pacific",2034,"Scenario 2","No aspirin",0.179138663851406
"East Asia and Pacific",2034,"Scenario 3","Aspirin",0.177494803061413
"East Asia and Pacific",2034,"Scenario 3","No aspirin",0.178157953049321
"East Asia and Pacific",2034,"Scenario 4","Aspirin",0.17636127413593
"East Asia and Pacific",2034,"Scenario 4","No aspirin",0.177180012291339
"East Asia and Pacific",2035,"Current care","Aspirin",0.179717009984493
"East Asia and Pacific",2035,"Scenario 1","Aspirin",0.177181736176052
"East Asia and Pacific",2035,"Scenario 1","No aspirin",0.177733581653985
"East Asia and Pacific",2035,"Scenario 2","Aspirin",0.177136032864515
"East Asia and Pacific",2035,"Scenario 2","No aspirin",0.177691724705109
"East Asia and Pacific",2035,"Scenario 3","Aspirin",0.17588471917518
"East Asia and Pacific",2035,"Scenario 3","No aspirin",0.176614420893927
"East Asia and Pacific",2035,"Scenario 4","Aspirin",0.17464167142651
"East Asia and Pacific",2035,"Scenario 4","No aspirin",0.175541212175005
"East Asia and Pacific",2036,"Current care","Aspirin",0.178453904846161
"East Asia and Pacific",2036,"Scenario 1","Aspirin",0.175701575621955
"East Asia and Pacific",2036,"Scenario 1","No aspirin",0.176302480725923
"East Asia and Pacific",2036,"Scenario 2","Aspirin",0.175635284105709
"East Asia and Pacific",2036,"Scenario 2","No aspirin",0.176242187005245
"East Asia and Pacific",2036,"Scenario 3","Aspirin",0.174273087233906
"East Asia and Pacific",2036,"Scenario 3","No aspirin",0.175068867257816
"East Asia and Pacific",2036,"Scenario 4","Aspirin",0.172921655851003
"East Asia and Pacific",2036,"Scenario 4","No aspirin",0.173901141357331
"East Asia and Pacific",2037,"Current care","Aspirin",0.17726457864529
"East Asia and Pacific",2037,"Scenario 1","Aspirin",0.174295310531298
"East Asia and Pacific",2037,"Scenario 1","No aspirin",0.174944944642357
"East Asia and Pacific",2037,"Scenario 2","Aspirin",0.17420334915871
"East Asia and Pacific",2037,"Scenario 2","No aspirin",0.174862039711766
"East Asia and Pacific",2037,"Scenario 3","Aspirin",0.172729190484843
"East Asia and Pacific",2037,"Scenario 3","No aspirin",0.173591593114604
"East Asia and Pacific",2037,"Scenario 4","Aspirin",0.171268568353562
"East Asia and Pacific",2037,"Scenario 4","No aspirin",0.172328388717435
"East Asia and Pacific",2038,"Current care","Aspirin",0.176114202885977
"East Asia and Pacific",2038,"Scenario 1","Aspirin",0.172957179281411
"East Asia and Pacific",2038,"Scenario 1","No aspirin",0.173651560161868
"East Asia and Pacific",2038,"Scenario 2","Aspirin",0.172808070821454
"East Asia and Pacific",2038,"Scenario 2","No aspirin",0.173518595688473
"East Asia and Pacific",2038,"Scenario 3","Aspirin",0.171222134211775
"East Asia and Pacific",2038,"Scenario 3","No aspirin",0.172150996642736
"East Asia and Pacific",2038,"Scenario 4","Aspirin",0.169652412946
"East Asia and Pacific",2038,"Scenario 4","No aspirin",0.170792122791298
"East Asia and Pacific",2039,"Current care","Aspirin",0.175013273697824
"East Asia and Pacific",2039,"Scenario 1","Aspirin",0.171690693280663
"East Asia and Pacific",2039,"Scenario 1","No aspirin",0.172427280963823
"East Asia and Pacific",2039,"Scenario 2","Aspirin",0.171461666277497
"East Asia and Pacific",2039,"Scenario 2","No aspirin",0.172223976873464
"East Asia and Pacific",2039,"Scenario 3","Aspirin",0.169764359165214
"East Asia and Pacific",2039,"Scenario 3","No aspirin",0.170759387659376
"East Asia and Pacific",2039,"Scenario 4","Aspirin",0.168085796970983
"East Asia and Pacific",2039,"Scenario 4","No aspirin",0.169304720913495
"East Asia and Pacific",2040,"Current care","Aspirin",0.173965600141463
"East Asia and Pacific",2040,"Scenario 1","Aspirin",0.170482468445556
"East Asia and Pacific",2040,"Scenario 1","No aspirin",0.171260779223619
"East Asia and Pacific",2040,"Scenario 2","Aspirin",0.170168538264444
"East Asia and Pacific",2040,"Scenario 2","No aspirin",0.170982468575604
"East Asia and Pacific",2040,"Scenario 3","Aspirin",0.168360028698348
"East Asia and Pacific",2040,"Scenario 3","No aspirin",0.169420838886014
"East Asia and Pacific",2040,"Scenario 4","Aspirin",0.166572272484697
"East Asia and Pacific",2040,"Scenario 4","No aspirin",0.167869816765792
"East Asia and Pacific",2041,"Current care","Aspirin",0.172977086206938
"East Asia and Pacific",2041,"Scenario 1","Aspirin",0.169338042790163
"East Asia and Pacific",2041,"Scenario 1","No aspirin",0.170157980584126
"East Asia and Pacific",2041,"Scenario 2","Aspirin",0.168933263944125
"East Asia and Pacific",2041,"Scenario 2","No aspirin",0.169798867025464
"East Asia and Pacific",2041,"Scenario 3","Aspirin",0.167013657154399
"East Asia and Pacific",2041,"Scenario 3","No aspirin",0.168140026677743
"East Asia and Pacific",2041,"Scenario 4","Aspirin",0.165117811987145
"East Asia and Pacific",2041,"Scenario 4","No aspirin",0.166493402104216
"East Asia and Pacific",2042,"Current care","Aspirin",0.172010607204066
"East Asia and Pacific",2042,"Scenario 1","Aspirin",0.168220772773426
"East Asia and Pacific",2042,"Scenario 1","No aspirin",0.169082093299223
"East Asia and Pacific",2042,"Scenario 2","Aspirin",0.167719196181765
"East Asia and Pacific",2042,"Scenario 2","No aspirin",0.168636386730719
"East Asia and Pacific",2042,"Scenario 3","Aspirin",0.16568956041055
"East Asia and Pacific",2042,"Scenario 3","No aspirin",0.166881075239423
"East Asia and Pacific",2042,"Scenario 4","Aspirin",0.163686429590504
"East Asia and Pacific",2042,"Scenario 4","No aspirin",0.165139253645648
"East Asia and Pacific",2043,"Current care","Aspirin",0.171068359899419
"East Asia and Pacific",2043,"Scenario 1","Aspirin",0.167133821500821
"East Asia and Pacific",2043,"Scenario 1","No aspirin",0.168035222908534
"East Asia and Pacific",2043,"Scenario 2","Aspirin",0.166529206115157
"East Asia and Pacific",2043,"Scenario 2","No aspirin",0.167497919384231
"East Asia and Pacific",2043,"Scenario 3","Aspirin",0.164391664155852
"East Asia and Pacific",2043,"Scenario 3","No aspirin",0.165647824596225
"East Asia and Pacific",2043,"Scenario 4","Aspirin",0.162278963723273
"East Asia and Pacific",2043,"Scenario 4","No aspirin",0.163808465931289
"East Asia and Pacific",2044,"Current care","Aspirin",0.170099990545621
"East Asia and Pacific",2044,"Scenario 1","Aspirin",0.166052071260606
"East Asia and Pacific",2044,"Scenario 1","No aspirin",0.166990968217499
"East Asia and Pacific",2044,"Scenario 2","Aspirin",0.165315048499428
"East Asia and Pacific",2044,"Scenario 2","No aspirin",0.166334792647548
"East Asia and Pacific",2044,"Scenario 3","Aspirin",0.163070090798163
"East Asia and Pacific",2044,"Scenario 3","No aspirin",0.164390127278397
"East Asia and Pacific",2044,"Scenario 4","Aspirin",0.160852964641867
"East Asia and Pacific",2044,"Scenario 4","No aspirin",0.162457496674832
"East Asia and Pacific",2045,"Current care","Aspirin",0.169046353937339
"East Asia and Pacific",2045,"Scenario 1","Aspirin",0.164958729500901
"East Asia and Pacific",2045,"Scenario 1","No aspirin",0.165931082740062
"East Asia and Pacific",2045,"Scenario 2","Aspirin",0.164023432930288
"East Asia and Pacific",2045,"Scenario 2","No aspirin",0.165094176518801
"East Asia and Pacific",2045,"Scenario 3","Aspirin",0.161669726405392
"East Asia and Pacific",2045,"Scenario 3","No aspirin",0.163052223261397
"East Asia and Pacific",2045,"Scenario 4","Aspirin",0.159350336488737
"East Asia and Pacific",2045,"Scenario 4","No aspirin",0.161027884230753
"East Asia and Pacific",2046,"Current care","Aspirin",0.167898684487397
"East Asia and Pacific",2046,"Scenario 1","Aspirin",0.163820927811442
"East Asia and Pacific",2046,"Scenario 1","No aspirin",0.164823400226811
"East Asia and Pacific",2046,"Scenario 2","Aspirin",0.162648455062587
"East Asia and Pacific",2046,"Scenario 2","No aspirin",0.163768105393627
"East Asia and Pacific",2046,"Scenario 3","Aspirin",0.160181149249072
"East Asia and Pacific",2046,"Scenario 3","No aspirin",0.161624820292242
"East Asia and Pacific",2046,"Scenario 4","Aspirin",0.157762010123081
"East Asia and Pacific",2046,"Scenario 4","No aspirin",0.159510585267909
"East Asia and Pacific",2047,"Current care","Aspirin",0.166712184708569
"East Asia and Pacific",2047,"Scenario 1","Aspirin",0.162658788710652
"East Asia and Pacific",2047,"Scenario 1","No aspirin",0.163687745146482
"East Asia and Pacific",2047,"Scenario 2","Aspirin",0.161242181356132
"East Asia and Pacific",2047,"Scenario 2","No aspirin",0.162409224022178
"East Asia and Pacific",2047,"Scenario 3","Aspirin",0.158656972833174
"East Asia and Pacific",2047,"Scenario 3","No aspirin",0.160161092975331
"East Asia and Pacific",2047,"Scenario 4","Aspirin",0.156139480717799
"East Asia and Pacific",2047,"Scenario 4","No aspirin",0.157957723092592
"East Asia and Pacific",2048,"Current care","Aspirin",0.165557398285204
"East Asia and Pacific",2048,"Scenario 1","Aspirin",0.161538901661199
"East Asia and Pacific",2048,"Scenario 1","No aspirin",0.162591441872668
"East Asia and Pacific",2048,"Scenario 2","Aspirin",0.159871101801083
"East Asia and Pacific",2048,"Scenario 2","No aspirin",0.161084924935635
"East Asia and Pacific",2048,"Scenario 3","Aspirin",0.157163648701641
"East Asia and Pacific",2048,"Scenario 3","No aspirin",0.158728095222558
"East Asia and Pacific",2048,"Scenario 4","Aspirin",0.154547923478735
"East Asia and Pacific",2048,"Scenario 4","No aspirin",0.156435432582146
"East Asia and Pacific",2049,"Current care","Aspirin",0.164465657546129
"East Asia and Pacific",2049,"Scenario 1","Aspirin",0.160488946165772
"East Asia and Pacific",2049,"Scenario 1","No aspirin",0.161562902261756
"East Asia and Pacific",2049,"Scenario 2","Aspirin",0.158564078053963
"East Asia and Pacific",2049,"Scenario 2","No aspirin",0.159824824943116
"East Asia and Pacific",2049,"Scenario 3","Aspirin",0.155728412427498
"East Asia and Pacific",2049,"Scenario 3","No aspirin",0.157353637932017
"East Asia and Pacific",2049,"Scenario 4","Aspirin",0.153013745032449
"East Asia and Pacific",2049,"Scenario 4","No aspirin",0.154970694135647
"East Asia and Pacific",2050,"Current care","Aspirin",0.163396941991798
"East Asia and Pacific",2050,"Scenario 1","Aspirin",0.159468513608153
"East Asia and Pacific",2050,"Scenario 1","No aspirin",0.160561819101755
"East Asia and Pacific",2050,"Scenario 2","Aspirin",0.157281183071022
"East Asia and Pacific",2050,"Scenario 2","No aspirin",0.158589188327557
"East Asia and Pacific",2050,"Scenario 3","Aspirin",0.15431224280023
"East Asia and Pacific",2050,"Scenario 3","No aspirin",0.15599860508303
"East Asia and Pacific",2050,"Scenario 4","Aspirin",0.151498550917171
"East Asia and Pacific",2050,"Scenario 4","No aspirin",0.15352496190674
"Europe and Central Asia",2017,"Current care","Aspirin",0.23571462446049
"Europe and Central Asia",2017,"Scenario 1","Aspirin",0.23571462446049
"Europe and Central Asia",2017,"Scenario 1","No aspirin",0.23571462446049
"Europe and Central Asia",2017,"Scenario 2","Aspirin",0.23571462446049
"Europe and Central Asia",2017,"Scenario 2","No aspirin",0.23571462446049
"Europe and Central Asia",2017,"Scenario 3","Aspirin",0.23571462446049
"Europe and Central Asia",2017,"Scenario 3","No aspirin",0.23571462446049
"Europe and Central Asia",2017,"Scenario 4","Aspirin",0.23571462446049
"Europe and Central Asia",2017,"Scenario 4","No aspirin",0.23571462446049
"Europe and Central Asia",2018,"Current care","Aspirin",0.219149516768283
"Europe and Central Asia",2018,"Scenario 1","Aspirin",0.219149516768283
"Europe and Central Asia",2018,"Scenario 1","No aspirin",0.219149516768283
"Europe and Central Asia",2018,"Scenario 2","Aspirin",0.219149516768283
"Europe and Central Asia",2018,"Scenario 2","No aspirin",0.219149516768283
"Europe and Central Asia",2018,"Scenario 3","Aspirin",0.219149516768283
"Europe and Central Asia",2018,"Scenario 3","No aspirin",0.219149516768283
"Europe and Central Asia",2018,"Scenario 4","Aspirin",0.219149516768283
"Europe and Central Asia",2018,"Scenario 4","No aspirin",0.219149516768283
"Europe and Central Asia",2019,"Current care","Aspirin",0.218722639998043
"Europe and Central Asia",2019,"Scenario 1","Aspirin",0.218722639998043
"Europe and Central Asia",2019,"Scenario 1","No aspirin",0.218722639998043
"Europe and Central Asia",2019,"Scenario 2","Aspirin",0.218722639998043
"Europe and Central Asia",2019,"Scenario 2","No aspirin",0.218722639998043
"Europe and Central Asia",2019,"Scenario 3","Aspirin",0.218722639998043
"Europe and Central Asia",2019,"Scenario 3","No aspirin",0.218722639998043
"Europe and Central Asia",2019,"Scenario 4","Aspirin",0.218722639998043
"Europe and Central Asia",2019,"Scenario 4","No aspirin",0.218722639998043
"Europe and Central Asia",2020,"Current care","Aspirin",0.342629704560976
"Europe and Central Asia",2020,"Current care","No aspirin",0.154971615521837
"Europe and Central Asia",2020,"Scenario 1","Aspirin",0.342629704560976
"Europe and Central Asia",2020,"Scenario 1","No aspirin",0.342629704560976
"Europe and Central Asia",2020,"Scenario 2","Aspirin",0.342629704560976
"Europe and Central Asia",2020,"Scenario 2","No aspirin",0.342629704560976
"Europe and Central Asia",2020,"Scenario 3","Aspirin",0.342629704560976
"Europe and Central Asia",2020,"Scenario 3","No aspirin",0.342629704560976
"Europe and Central Asia",2020,"Scenario 4","Aspirin",0.342629704560976
"Europe and Central Asia",2020,"Scenario 4","No aspirin",0.342629704560976
"Europe and Central Asia",2021,"Current care","Aspirin",0.348739067332955
"Europe and Central Asia",2021,"Current care","No aspirin",0.154360449603977
"Europe and Central Asia",2021,"Scenario 1","Aspirin",0.348739067332955
"Europe and Central Asia",2021,"Scenario 1","No aspirin",0.348739067332955
"Europe and Central Asia",2021,"Scenario 2","Aspirin",0.348739067332955
"Europe and Central Asia",2021,"Scenario 2","No aspirin",0.348739067332955
"Europe and Central Asia",2021,"Scenario 3","Aspirin",0.348739067332955
"Europe and Central Asia",2021,"Scenario 3","No aspirin",0.348739067332955
"Europe and Central Asia",2021,"Scenario 4","Aspirin",0.348739067332955
"Europe and Central Asia",2021,"Scenario 4","No aspirin",0.348739067332955
"Europe and Central Asia",2022,"Current care","Aspirin",0.333733717839737
"Europe and Central Asia",2022,"Current care","No aspirin",0.156039256116758
"Europe and Central Asia",2022,"Scenario 1","Aspirin",0.333733717839737
"Europe and Central Asia",2022,"Scenario 1","No aspirin",0.333733717839737
"Europe and Central Asia",2022,"Scenario 2","Aspirin",0.333733717839737
"Europe and Central Asia",2022,"Scenario 2","No aspirin",0.333733717839737
"Europe and Central Asia",2022,"Scenario 3","Aspirin",0.333733717839737
"Europe and Central Asia",2022,"Scenario 3","No aspirin",0.333733717839737
"Europe and Central Asia",2022,"Scenario 4","Aspirin",0.333733717839737
"Europe and Central Asia",2022,"Scenario 4","No aspirin",0.333733717839737
"Europe and Central Asia",2023,"Current care","Aspirin",0.328332123642682
"Europe and Central Asia",2023,"Current care","No aspirin",0.151996319000671
"Europe and Central Asia",2023,"Scenario 1","Aspirin",0.328209714225105
"Europe and Central Asia",2023,"Scenario 1","No aspirin",0.328238956567996
"Europe and Central Asia",2023,"Scenario 2","Aspirin",0.328209714225105
"Europe and Central Asia",2023,"Scenario 2","No aspirin",0.328238956567996
"Europe and Central Asia",2023,"Scenario 3","Aspirin",0.328137752987181
"Europe and Central Asia",2023,"Scenario 3","No aspirin",0.328176691182748
"Europe and Central Asia",2023,"Scenario 4","Aspirin",0.328065475439924
"Europe and Central Asia",2023,"Scenario 4","No aspirin",0.328114152998112
"Europe and Central Asia",2024,"Current care","Aspirin",0.205381373952683
"Europe and Central Asia",2024,"Scenario 1","Aspirin",0.205080481762723
"Europe and Central Asia",2024,"Scenario 1","No aspirin",0.20515460184958
"Europe and Central Asia",2024,"Scenario 2","Aspirin",0.205080481762723
"Europe and Central Asia",2024,"Scenario 2","No aspirin",0.20515460184958
"Europe and Central Asia",2024,"Scenario 3","Aspirin",0.204904023532191
"Europe and Central Asia",2024,"Scenario 3","No aspirin",0.20500268101337
"Europe and Central Asia",2024,"Scenario 4","Aspirin",0.204726832307324
"Europe and Central Asia",2024,"Scenario 4","No aspirin",0.204850117695157
"Europe and Central Asia",2025,"Current care","Aspirin",0.202845704171511
"Europe and Central Asia",2025,"Scenario 1","Aspirin",0.202378596169917
"Europe and Central Asia",2025,"Scenario 1","No aspirin",0.202496499761918
"Europe and Central Asia",2025,"Scenario 2","Aspirin",0.202378596169917
"Europe and Central Asia",2025,"Scenario 2","No aspirin",0.202496499761918
