"wbregion","year","intervention","regimen","x50q30"
"East Asia and Pacific",2029,"Scenario 3","Aspirin",0.409474869230949
"East Asia and Pacific",2029,"Scenario 3","No aspirin",0.41055359707752
"East Asia and Pacific",2029,"Scenario 4","Aspirin",0.407562949642977
"East Asia and Pacific",2029,"Scenario 4","No aspirin",0.408907530799094
"East Asia and Pacific",2030,"Current care","Aspirin",0.413184563099462
"East Asia and Pacific",2030,"Current care","No aspirin",0.413184563099462
"East Asia and Pacific",2030,"Scenario 1","Aspirin",0.408711935632816
"East Asia and Pacific",2030,"Scenario 1","No aspirin",0.409677327573044
"East Asia and Pacific",2030,"Scenario 2","Aspirin",0.408689246874329
"East Asia and Pacific",2030,"Scenario 2","No aspirin",0.409657632599301
"East Asia and Pacific",2030,"Scenario 3","Aspirin",0.406442458181812
"East Asia and Pacific",2030,"Scenario 3","No aspirin",0.407725968555254
"East Asia and Pacific",2030,"Scenario 4","Aspirin",0.404185710981185
"East Asia and Pacific",2030,"Scenario 4","No aspirin",0.405784078177726
"East Asia and Pacific",2031,"Current care","Aspirin",0.410544517422513
"East Asia and Pacific",2031,"Current care","No aspirin",0.410544517422513
"East Asia and Pacific",2031,"Scenario 1","Aspirin",0.405376122293776
"East Asia and Pacific",2031,"Scenario 1","No aspirin",0.406498519276656
"East Asia and Pacific",2031,"Scenario 2","Aspirin",0.405342447777239
"East Asia and Pacific",2031,"Scenario 2","No aspirin",0.406469257600982
"East Asia and Pacific",2031,"Scenario 3","Aspirin",0.402748267688622
"East Asia and Pacific",2031,"Scenario 3","No aspirin",0.404240219961024
"East Asia and Pacific",2031,"Scenario 4","Aspirin",0.400143978585283
"East Asia and Pacific",2031,"Scenario 4","No aspirin",0.402000065302212
"East Asia and Pacific",2032,"Current care","Aspirin",0.408149884253013
"East Asia and Pacific",2032,"Current care","No aspirin",0.408149884253013
"East Asia and Pacific",2032,"Scenario 1","Aspirin",0.40226778152094
"East Asia and Pacific",2032,"Scenario 1","No aspirin",0.403552762470134
"East Asia and Pacific",2032,"Scenario 2","Aspirin",0.402215038252524
"East Asia and Pacific",2032,"Scenario 2","No aspirin",0.403506864989024
"East Asia and Pacific",2032,"Scenario 3","Aspirin",0.399261365360051
"East Asia and Pacific",2032,"Scenario 3","No aspirin",0.400970083610503
"East Asia and Pacific",2032,"Scenario 4","Aspirin",0.396298489442561
"East Asia and Pacific",2032,"Scenario 4","No aspirin",0.398422007001824
"East Asia and Pacific",2033,"Current care","Aspirin",0.405741507793167
"East Asia and Pacific",2033,"Current care","No aspirin",0.405741507793167
"East Asia and Pacific",2033,"Scenario 1","Aspirin",0.399132943438194
"East Asia and Pacific",2033,"Scenario 1","No aspirin",0.400584409693155
"East Asia and Pacific",2033,"Scenario 2","Aspirin",0.399060057853087
"East Asia and Pacific",2033,"Scenario 2","No aspirin",0.400520862347067
"East Asia and Pacific",2033,"Scenario 3","Aspirin",0.395741775081983
"East Asia and Pacific",2033,"Scenario 3","No aspirin",0.397671864110686
"East Asia and Pacific",2033,"Scenario 4","Aspirin",0.392415351264588
"East Asia and Pacific",2033,"Scenario 4","No aspirin",0.394811321367622
"East Asia and Pacific",2034,"Current care","Aspirin",0.403156845972834
"East Asia and Pacific",2034,"Current care","No aspirin",0.403156845972834
"East Asia and Pacific",2034,"Scenario 1","Aspirin",0.395824019600879
"East Asia and Pacific",2034,"Scenario 1","No aspirin",0.397445269267019
"East Asia and Pacific",2034,"Scenario 2","Aspirin",0.395722153534638
"East Asia and Pacific",2034,"Scenario 2","No aspirin",0.397353554592684
"East Asia and Pacific",2034,"Scenario 3","Aspirin",0.392038108880829
"East Asia and Pacific",2034,"Scenario 3","No aspirin",0.394191149413238
"East Asia and Pacific",2034,"Scenario 4","Aspirin",0.388347790552798
"East Asia and Pacific",2034,"Scenario 4","No aspirin",0.391017422421103
"East Asia and Pacific",2035,"Current care","Aspirin",0.400295502386545
"East Asia and Pacific",2035,"Current care","No aspirin",0.400295502386545
"East Asia and Pacific",2035,"Scenario 1","Aspirin",0.392249644834125
"East Asia and Pacific",2035,"Scenario 1","No aspirin",0.394038559489097
"East Asia and Pacific",2035,"Scenario 2","Aspirin",0.392103782098374
"East Asia and Pacific",2035,"Scenario 2","No aspirin",0.393906299805322
"East Asia and Pacific",2035,"Scenario 3","Aspirin",0.38805432691711
"East Asia and Pacific",2035,"Scenario 3","No aspirin",0.390430463373769
"East Asia and Pacific",2035,"Scenario 4","Aspirin",0.384001594185231
"East Asia and Pacific",2035,"Scenario 4","No aspirin",0.386944262341936
"East Asia and Pacific",2036,"Current care","Aspirin",0.397118445810807
"East Asia and Pacific",2036,"Current care","No aspirin",0.397118445810807
"East Asia and Pacific",2036,"Scenario 1","Aspirin",0.388370975777023
"East Asia and Pacific",2036,"Scenario 1","No aspirin",0.3903256095872
"East Asia and Pacific",2036,"Scenario 2","Aspirin",0.388167177153787
"East Asia and Pacific",2036,"Scenario 2","No aspirin",0.390141340934595
"East Asia and Pacific",2036,"Scenario 3","Aspirin",0.383752798895895
"East Asia and Pacific",2036,"Scenario 3","No aspirin",0.386352041912473
"East Asia and Pacific",2036,"Scenario 4","Aspirin",0.379339004191841
"East Asia and Pacific",2036,"Scenario 4","No aspirin",0.382553816303865
"East Asia and Pacific",2037,"Current care","Aspirin",0.393750210051116
"East Asia and Pacific",2037,"Current care","No aspirin",0.393750210051116
"East Asia and Pacific",2037,"Scenario 1","Aspirin",0.384297105737184
"East Asia and Pacific",2037,"Scenario 1","No aspirin",0.386418153428127
"East Asia and Pacific",2037,"Scenario 2","Aspirin",0.384026200904437
"East Asia and Pacific",2037,"Scenario 2","No aspirin",0.386174567688752
"East Asia and Pacific",2037,"Scenario 3","Aspirin",0.379241558766785
"East Asia and Pacific",2037,"Scenario 3","No aspirin",0.382066709933225
"East Asia and Pacific",2037,"Scenario 4","Aspirin",0.374463092499286
"East Asia and Pacific",2037,"Scenario 4","No aspirin",0.377952449540373
"East Asia and Pacific",2038,"Current care","Aspirin",0.390631792387618
"East Asia and Pacific",2038,"Current care","No aspirin",0.390631792387618
"East Asia and Pacific",2038,"Scenario 1","Aspirin",0.380498831916926
"East Asia and Pacific",2038,"Scenario 1","No aspirin",0.382786156322192
"East Asia and Pacific",2038,"Scenario 2","Aspirin",0.380102037455393
"East Asia and Pacific",2038,"Scenario 2","No aspirin",0.382431788742658
"East Asia and Pacific",2038,"Scenario 3","Aspirin",0.37493194679103
"East Asia and Pacific",2038,"Scenario 3","No aspirin",0.377991873002644
"East Asia and Pacific",2038,"Scenario 4","Aspirin",0.369774399191221
"East Asia and Pacific",2038,"Scenario 4","No aspirin",0.373548351940228
"East Asia and Pacific",2039,"Current care","Aspirin",0.38804027474898
"East Asia and Pacific",2039,"Current care","No aspirin",0.38804027474898
"East Asia and Pacific",2039,"Scenario 1","Aspirin",0.377230685651611
"East Asia and Pacific",2039,"Scenario 1","No aspirin",0.379689298384742
"East Asia and Pacific",2039,"Scenario 2","Aspirin",0.376669060942683
"East Asia and Pacific",2039,"Scenario 2","No aspirin",0.379188856110899
"East Asia and Pacific",2039,"Scenario 3","Aspirin",0.371095734591945
"East Asia and Pacific",2039,"Scenario 3","No aspirin",0.374401204826465
"East Asia and Pacific",2039,"Scenario 4","Aspirin",0.365541679442182
"East Asia and Pacific",2039,"Scenario 4","No aspirin",0.369612444507356
"East Asia and Pacific",2040,"Current care","Aspirin",0.385888811931104
"East Asia and Pacific",2040,"Current care","No aspirin",0.385888811931104
"East Asia and Pacific",2040,"Scenario 1","Aspirin",0.37438272365147
"East Asia and Pacific",2040,"Scenario 1","No aspirin",0.377018672406278
"East Asia and Pacific",2040,"Scenario 2","Aspirin",0.373651884519382
"East Asia and Pacific",2040,"Scenario 2","No aspirin",0.376367654101128
"East Asia and Pacific",2040,"Scenario 3","Aspirin",0.367662459321559
"East Asia and Pacific",2040,"Scenario 3","No aspirin",0.371220816443821
"East Asia and Pacific",2040,"Scenario 4","Aspirin",0.361697500286943
"East Asia and Pacific",2040,"Scenario 4","No aspirin",0.36607382989583
"East Asia and Pacific",2041,"Current care","Aspirin",0.384176130391786
"East Asia and Pacific",2041,"Current care","No aspirin",0.384176130391786
"East Asia and Pacific",2041,"Scenario 1","Aspirin",0.371958938024132
"East Asia and Pacific",2041,"Scenario 1","No aspirin",0.374777704360639
"East Asia and Pacific",2041,"Scenario 2","Aspirin",0.371046014152067
"East Asia and Pacific",2041,"Scenario 2","No aspirin",0.373963740771738
"East Asia and Pacific",2041,"Scenario 3","Aspirin",0.36462957847344
"East Asia and Pacific",2041,"Scenario 3","No aspirin",0.368447821426875
"East Asia and Pacific",2041,"Scenario 4","Aspirin",0.358246075535372
"East Asia and Pacific",2041,"Scenario 4","No aspirin",0.362935505937198
"East Asia and Pacific",2042,"Current care","Aspirin",0.382435676673084
"East Asia and Pacific",2042,"Current care","No aspirin",0.382435676673084
"East Asia and Pacific",2042,"Scenario 1","Aspirin",0.369522789401282
"East Asia and Pacific",2042,"Scenario 1","No aspirin",0.372522482076574
"East Asia and Pacific",2042,"Scenario 2","Aspirin",0.368411652325768
"East Asia and Pacific",2042,"Scenario 2","No aspirin",0.371530925809531
"East Asia and Pacific",2042,"Scenario 3","Aspirin",0.361573544090064
"East Asia and Pacific",2042,"Scenario 3","No aspirin",0.365650048799781
"East Asia and Pacific",2042,"Scenario 4","Aspirin",0.354776753333924
"East Asia and Pacific",2042,"Scenario 4","No aspirin",0.359776020776149
"East Asia and Pacific",2043,"Current care","Aspirin",0.380584848034764
"East Asia and Pacific",2043,"Current care","No aspirin",0.380584848034764
"East Asia and Pacific",2043,"Scenario 1","Aspirin",0.36700677737793
"East Asia and Pacific",2043,"Scenario 1","No aspirin",0.370180718371438
"East Asia and Pacific",2043,"Scenario 2","Aspirin",0.365677088298692
"East Asia and Pacific",2043,"Scenario 2","No aspirin",0.368994838833406
"East Asia and Pacific",2043,"Scenario 3","Aspirin",0.358431816724429
"East Asia and Pacific",2043,"Scenario 3","No aspirin",0.362760989176555
"East Asia and Pacific",2043,"Scenario 4","Aspirin",0.351222275458494
"East Asia and Pacific",2043,"Scenario 4","No aspirin",0.356524395488142
"East Asia and Pacific",2044,"Current care","Aspirin",0.378631344358843
"East Asia and Pacific",2044,"Current care","No aspirin",0.378631344358843
"East Asia and Pacific",2044,"Scenario 1","Aspirin",0.364535398773335
"East Asia and Pacific",2044,"Scenario 1","No aspirin",0.367871269647887
"East Asia and Pacific",2044,"Scenario 2","Aspirin",0.362850733487869
"East Asia and Pacific",2044,"Scenario 2","No aspirin",0.366363644566033
"East Asia and Pacific",2044,"Scenario 3","Aspirin",0.355206876133898
"East Asia and Pacific",2044,"Scenario 3","No aspirin",0.359783471242209
"East Asia and Pacific",2044,"Scenario 4","Aspirin",0.347605175679009
"East Asia and Pacific",2044,"Scenario 4","No aspirin",0.35320124532107
"East Asia and Pacific",2045,"Current care","Aspirin",0.376654733944432
"East Asia and Pacific",2045,"Current care","No aspirin",0.376654733944432
"East Asia and Pacific",2045,"Scenario 1","Aspirin",0.362352563420009
"East Asia and Pacific",2045,"Scenario 1","No aspirin",0.365834990559934
"East Asia and Pacific",2045,"Scenario 2","Aspirin",0.360013651697602
"East Asia and Pacific",2045,"Scenario 2","No aspirin",0.363721863158224
"East Asia and Pacific",2045,"Scenario 3","Aspirin",0.351967099042354
"East Asia and Pacific",2045,"Scenario 3","No aspirin",0.356787917637437
"East Asia and Pacific",2045,"Scenario 4","Aspirin",0.343977904390243
"East Asia and Pacific",2045,"Scenario 4","No aspirin",0.34986288073221
"East Asia and Pacific",2046,"Current care","Aspirin",0.37459741199309
"East Asia and Pacific",2046,"Current care","No aspirin",0.37459741199309
"East Asia and Pacific",2046,"Scenario 1","Aspirin",0.360286570309913
"East Asia and Pacific",2046,"Scenario 1","No aspirin",0.363902498051448
"East Asia and Pacific",2046,"Scenario 2","Aspirin",0.357126086728192
"East Asia and Pacific",2046,"Scenario 2","No aspirin",0.361022940367925
"East Asia and Pacific",2046,"Scenario 3","Aspirin",0.348671521775762
"East Asia and Pacific",2046,"Scenario 3","No aspirin",0.353730668989374
"East Asia and Pacific",2046,"Scenario 4","Aspirin",0.34030768817432
"East Asia and Pacific",2046,"Scenario 4","No aspirin",0.346472603152956
"East Asia and Pacific",2047,"Current care","Aspirin",0.372665094602572
"East Asia and Pacific",2047,"Current care","No aspirin",0.372665094602572
"East Asia and Pacific",2047,"Scenario 1","Aspirin",0.358382987412214
"East Asia and Pacific",2047,"Scenario 1","No aspirin",0.362120823663974
"East Asia and Pacific",2047,"Scenario 2","Aspirin",0.354362233086513
"East Asia and Pacific",2047,"Scenario 2","No aspirin",0.35844737408252
"East Asia and Pacific",2047,"Scenario 3","Aspirin",0.345481252697769
"East Asia and Pacific",2047,"Scenario 3","No aspirin",0.350781194323008
"East Asia and Pacific",2047,"Scenario 4","Aspirin",0.336740620470452
"East Asia and Pacific",2047,"Scenario 4","No aspirin",0.343186691761356
"East Asia and Pacific",2048,"Current care","Aspirin",0.370788977017703
"East Asia and Pacific",2048,"Current care","No aspirin",0.370788977017703
"East Asia and Pacific",2048,"Scenario 1","Aspirin",0.356574922758385
"East Asia and Pacific",2048,"Scenario 1","No aspirin",0.360422302660038
"East Asia and Pacific",2048,"Scenario 2","Aspirin",0.351662724494604
"East Asia and Pacific",2048,"Scenario 2","No aspirin",0.355934218150581
"East Asia and Pacific",2048,"Scenario 3","Aspirin",0.342342764528345
"East Asia and Pacific",2048,"Scenario 3","No aspirin",0.347882854222413
"East Asia and Pacific",2048,"Scenario 4","Aspirin",0.333227163788627
"East Asia and Pacific",2048,"Scenario 4","No aspirin",0.339952504717385
"East Asia and Pacific",2049,"Current care","Aspirin",0.368980190908049
"East Asia and Pacific",2049,"Current care","No aspirin",0.368980190908049
"East Asia and Pacific",2049,"Scenario 1","Aspirin",0.354866672987619
"East Asia and Pacific",2049,"Scenario 1","No aspirin",0.358812989752914
"East Asia and Pacific",2049,"Scenario 2","Aspirin",0.349041577033464
"East Asia and Pacific",2049,"Scenario 2","No aspirin",0.353497950625337
"East Asia and Pacific",2049,"Scenario 3","Aspirin",0.339266476822883
"East Asia and Pacific",2049,"Scenario 3","No aspirin",0.345046182340662
"East Asia and Pacific",2049,"Scenario 4","Aspirin",0.329777501294509
"East Asia and Pacific",2049,"Scenario 4","No aspirin",0.336780005606566
"East Asia and Pacific",2050,"Current care","Aspirin",0.367246399138256
"East Asia and Pacific",2050,"Current care","No aspirin",0.367246399138256
"East Asia and Pacific",2050,"Scenario 1","Aspirin",0.353259635028962
"East Asia and Pacific",2050,"Scenario 1","No aspirin",0.35729593719282
"East Asia and Pacific",2050,"Scenario 2","Aspirin",0.346504677898509
"East Asia and Pacific",2050,"Scenario 2","No aspirin",0.351146251066708
"East Asia and Pacific",2050,"Scenario 3","Aspirin",0.336256207061401
"East Asia and Pacific",2050,"Scenario 3","No aspirin",0.342276096769369
"East Asia and Pacific",2050,"Scenario 4","Aspirin",0.326395132337201
"East Asia and Pacific",2050,"Scenario 4","No aspirin",0.333673874195841
"Europe and Central Asia",2017,"Current care","Aspirin",0.451516371576943
"Europe and Central Asia",2017,"Current care","No aspirin",0.451516371576943
"Europe and Central Asia",2017,"Scenario 1","Aspirin",0.451516371576943
"Europe and Central Asia",2017,"Scenario 1","No aspirin",0.451516371576943
"Europe and Central Asia",2017,"Scenario 2","Aspirin",0.451516371576943
"Europe and Central Asia",2017,"Scenario 2","No aspirin",0.451516371576943
"Europe and Central Asia",2017,"Scenario 3","Aspirin",0.451516371576943
"Europe and Central Asia",2017,"Scenario 3","No aspirin",0.451516371576943
"Europe and Central Asia",2017,"Scenario 4","Aspirin",0.451516371576943
"Europe and Central Asia",2017,"Scenario 4","No aspirin",0.451516371576943
"Europe and Central Asia",2018,"Current care","Aspirin",0.425246106540335
"Europe and Central Asia",2018,"Current care","No aspirin",0.425246106540335
"Europe and Central Asia",2018,"Scenario 1","Aspirin",0.425246106540335
"Europe and Central Asia",2018,"Scenario 1","No aspirin",0.425246106540335
"Europe and Central Asia",2018,"Scenario 2","Aspirin",0.425246106540335
"Europe and Central Asia",2018,"Scenario 2","No aspirin",0.425246106540335
"Europe and Central Asia",2018,"Scenario 3","Aspirin",0.425246106540335
"Europe and Central Asia",2018,"Scenario 3","No aspirin",0.425246106540335
"Europe and Central Asia",2018,"Scenario 4","Aspirin",0.425246106540335
"Europe and Central Asia",2018,"Scenario 4","No aspirin",0.425246106540335
"Europe and Central Asia",2019,"Current care","Aspirin",0.424433085890234
"Europe and Central Asia",2019,"Current care","No aspirin",0.424433085890234
"Europe and Central Asia",2019,"Scenario 1","Aspirin",0.424433085890234
"Europe and Central Asia",2019,"Scenario 1","No aspirin",0.424433085890234
"Europe and Central Asia",2019,"Scenario 2","Aspirin",0.424433085890234
"Europe and Central Asia",2019,"Scenario 2","No aspirin",0.424433085890234
"Europe and Central Asia",2019,"Scenario 3","Aspirin",0.424433085890234
"Europe and Central Asia",2019,"Scenario 3","No aspirin",0.424433085890234
"Europe and Central Asia",2019,"Scenario 4","Aspirin",0.424433085890234
"Europe and Central Asia",2019,"Scenario 4","No aspirin",0.424433085890234
"Europe and Central Asia",2020,"Current care","Aspirin",0.437489483373967
"Europe and Central Asia",2020,"Current care","No aspirin",0.437489483373967
"Europe and Central Asia",2020,"Scenario 1","Aspirin",0.437489483373967
"Europe and Central Asia",2020,"Scenario 1","No aspirin",0.437489483373967
"Europe and Central Asia",2020,"Scenario 2","Aspirin",0.437489483373967
"Europe and Central Asia",2020,"Scenario 2","No aspirin",0.437489483373967
"Europe and Central Asia",2020,"Scenario 3","Aspirin",0.437489483373967
"Europe and Central Asia",2020,"Scenario 3","No aspirin",0.437489483373967
"Europe and Central Asia",2020,"Scenario 4","Aspirin",0.437489483373967
"Europe and Central Asia",2020,"Scenario 4","No aspirin",0.437489483373967
"Europe and Central Asia",2021,"Current care","Aspirin",0.458078353577884
"Europe and Central Asia",2021,"Current care","No aspirin",0.458078353577884
"Europe and Central Asia",2021,"Scenario 1","Aspirin",0.458078353577884
"Europe and Central Asia",2021,"Scenario 1","No aspirin",0.458078353577884
"Europe and Central Asia",2021,"Scenario 2","Aspirin",0.458078353577884
"Europe and Central Asia",2021,"Scenario 2","No aspirin",0.458078353577884
"Europe and Central Asia",2021,"Scenario 3","Aspirin",0.458078353577884
"Europe and Central Asia",2021,"Scenario 3","No aspirin",0.458078353577884
"Europe and Central Asia",2021,"Scenario 4","Aspirin",0.458078353577884
"Europe and Central Asia",2021,"Scenario 4","No aspirin",0.458078353577884
"Europe and Central Asia",2022,"Current care","Aspirin",0.41143772150174
"Europe and Central Asia",2022,"Current care","No aspirin",0.41143772150174
"Europe and Central Asia",2022,"Scenario 1","Aspirin",0.41143772150174
"Europe and Central Asia",2022,"Scenario 1","No aspirin",0.41143772150174
